2025-08-10 11:16:00 root         INFO     Starting GetRecords Consumer
2025-08-10 11:16:00 botocore.credentials INFO     Found credentials in shared credentials file: /home/coder/.aws/credentials
2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': 'd2c36c3b-b26b-4d11-aef4-71bda837300b', 'customer_number': 262, 'city': 'San Diego', 'country': 'USA', 'credit_limit': 90069, 'browse_history': [{'product_code': 'S18_1097', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S32_1374', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S10_4962', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '5', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49665997182858280982574129609799897399638214382198980610
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': 'd2c36c3b-b26b-4d11-aef4-71bda837300b', 'customer_number': 262, 'city': 'San Diego', 'country': 'USA', 'credit_limit': 90069, 'browse_history': [{'product_code': 'S18_1097', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S32_1374', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S10_4962', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '5', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 235615), 'overall_product_quantity': 20, 'overall_shopping_cart': 12, 'total_different_products': 5}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789654397844678487900842676871933984770 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': 'ed05a2ac-fdff-4a28-92ed-963c6bb69ec4', 'customer_number': 116, 'city': 'Frankfurt', 'country': 'Germany', 'credit_limit': 33052, 'browse_history': [{'product_code': 'S12_3891', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49665997182858280982574129614769791444073956912280895490
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': 'ed05a2ac-fdff-4a28-92ed-963c6bb69ec4', 'customer_number': 116, 'city': 'Frankfurt', 'country': 'Germany', 'credit_limit': 33052, 'browse_history': [{'product_code': 'S12_3891', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 258828), 'overall_product_quantity': 7, 'overall_shopping_cart': 0, 'total_different_products': 1}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789640561397479036299362435376137371650 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': 'db94c057-48c4-47ce-9456-286a4c71c080', 'customer_number': 473, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 72814, 'browse_history': [{'product_code': 'S50_1341', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S12_3891', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S32_4289', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_1662', 'quantity': '2', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49665997182858280982574129620141048860621756465804214274
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': 'db94c057-48c4-47ce-9456-286a4c71c080', 'customer_number': 473, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 72814, 'browse_history': [{'product_code': 'S50_1341', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S12_3891', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S32_4289', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_1662', 'quantity': '2', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 278593), 'overall_product_quantity': 25, 'overall_shopping_cart': 25, 'total_different_products': 5}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789640561397495961260837040184583258114 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': '5e9d179b-baf6-471f-91c4-9cdc9effcced', 'customer_number': 434, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 141909, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49665997182858280982574129625269312187427015349053161474
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': '5e9d179b-baf6-471f-91c4-9cdc9effcced', 'customer_number': 434, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 141909, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 311388), 'overall_product_quantity': 9, 'overall_shopping_cart': 0, 'total_different_products': 1}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789640561397524975480507791284776206338 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': '98e533e5-94f7-41e7-b3bc-b10c6d42472d', 'customer_number': 294, 'city': 'Las Vegas', 'country': 'USA', 'credit_limit': 92870, 'browse_history': [{'product_code': 'S18_1749', 'quantity': '3', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49665997182858280982574129629947855109335632041872457730
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': '98e533e5-94f7-41e7-b3bc-b10c6d42472d', 'customer_number': 294, 'city': 'Las Vegas', 'country': 'USA', 'credit_limit': 92870, 'browse_history': [{'product_code': 'S18_1749', 'quantity': '3', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 340787), 'overall_product_quantity': 3, 'overall_shopping_cart': 3, 'total_different_products': 1}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789654397844867080328702559023188148226 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': 'ddb5a8e9-96d3-4706-893a-5b0f4e04a6f9', 'customer_number': 140, 'city': 'Dublin', 'country': 'Ireland', 'credit_limit': 105700, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_4522', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49665997182858280982574129630396366588412659671846879234
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': 'ddb5a8e9-96d3-4706-893a-5b0f4e04a6f9', 'customer_number': 140, 'city': 'Dublin', 'country': 'Ireland', 'credit_limit': 105700, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_4522', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 366959), 'overall_product_quantity': 11, 'overall_shopping_cart': 0, 'total_different_products': 2}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789640561397557616477637386272493273090 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': '185a62a8-4596-472f-9eca-4a47730ceff9', 'customer_number': 169, 'city': 'New Bedford', 'country': 'USA', 'credit_limit': 46681, 'browse_history': [{'product_code': 'S24_3151', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_2248', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '3', 'in_shopping_cart': True}]} from Shard shardId-000000000001 at position 49665997182880581727772659933548536038708711291264958482
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': '185a62a8-4596-472f-9eca-4a47730ceff9', 'customer_number': 169, 'city': 'New Bedford', 'country': 'USA', 'credit_limit': 46681, 'browse_history': [{'product_code': 'S24_3151', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_2248', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '3', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 443815), 'overall_product_quantity': 11, 'overall_shopping_cart': 4, 'total_different_products': 3}
2025-08-10 11:16:01 root         INFO     Produced record 49665997318446811789654397845009733575417085265803476994 to Shard shardId-000000000000


2025-08-10 11:16:01 root         INFO     Read User Session {'session_id': '81061e69-9fbb-4fce-92f9-f31dfdaaec44', 'customer_number': 299, 'city': 'Köln', 'country': 'Germany', 'credit_limit': 107094, 'browse_history': [{'product_code': 'S32_2206', 'quantity': '2', 'in_shopping_cart': False}]} from Shard shardId-000000000001 at position 49665997182880581727772660016114542740929040929525858322
2025-08-10 11:16:01 root         INFO     Processed User Session {'session_id': '81061e69-9fbb-4fce-92f9-f31dfdaaec44', 'customer_number': 299, 'city': 'Köln', 'country': 'Germany', 'credit_limit': 107094, 'browse_history': [{'product_code': 'S32_2206', 'quantity': '2', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2025, 8, 10, 11, 16, 1, 473476), 'overall_product_quantity': 2, 'overall_shopping_cart': 0, 'total_different_products': 1}
